new_dwc:kingdom,new_dwc:phylum,new_dwc:class,new_dwc:order,new_dwc:family,count
,,,,,737336
animalia,,,,,50691
animalia,,,,agyrekocyathidae,2
animalia,,,,ajacicyathidae,41
animalia,,,,alphacyathidae,1
animalia,,,,altaicyathidae,1
animalia,,,,anaptyctocyathidae,4
animalia,,,,anthomorphidae,8
animalia,,,,archaeocyathidae,34
animalia,,,,archaeopharetridae,21
animalia,,,,arganodontidae,1
animalia,,,,asterocyathidae,22
animalia,,,,attidae,1
animalia,,,,belantseidae,1
animalia,,,,binoculidae,2
animalia,,,,bronchocyathidae,18
animalia,,,,calyptocoscinidae,1
animalia,,,,carinacyathidae,4
animalia,,,,chancelloriidae,6
animalia,,,,claruscoscinidae,2
animalia,,,,clathricoscinidae,1
animalia,,,,coccolithidae,40
animalia,,,,coleolidae,5
animalia,,,,copleicyathidae,5
animalia,,,,corticariidae originally as,3
animalia,,,,coscinocyathidae,27
animalia,,,,coscinoptyctidae,1
animalia,,,,densocyathidae,5
animalia,,,,dickinsoniidae,5
animalia,,,,dictyocyathidae,24
animalia,,,,discocephalidae,1
animalia,,,,discosauridae,1
animalia,,,,dokidocyathidae,5
animalia,,,,dolichopidae,1
animalia,,,,dunkleosteidae,1
animalia,,,,eremitacyathidae,1
animalia,,,,ethmocoscinidae,1
animalia,,,,ethmocyathidae,29
animalia,,,,ethmophyllidae,10
animalia,,,,euleptaspididae,1
animalia,,,,flindersicyathidae,5
animalia,,,,fransuasaecyathidae,1
animalia,,,,gatagacyathidae,1
animalia,,,,gregoriidae,3
animalia,,,,gymnorhinidae,10
animalia,,,,hupecyathidae,1
animalia,,,,hyolithellidae,2
animalia,,,,japhanicyathidae,1
animalia,,,,jebileticoscinidae,4
animalia,,,,kaltatocyathidae,2
animalia,,,,korovinellidae,1
animalia,,,,ledridae,1
animalia,,,,liotheidae,1
animalia,,,,loculicyathidae,18
animalia,,,,macropsidae,1
animalia,,,,metacyathidae,20
